,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1],0.0,-0.02419191932890373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[1, 13]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033999202702461116,0.0,0.0
"[1, 13, 13]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002309260425405992,0.0,0.0
[7],0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001297972036102885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[7, 3]",0.0,0.0,0.0,-0.004407842674860029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[7, 3, 7]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015381266371351614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[6],0.0,0.0,0.0,0.0,0.0,0.0,-0.02056464150623702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[6, 9]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00908779990766134,0.0,0.0,0.0,0.0,0.0,0.0
"[6, 9, 9]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00244868003155862,0.0,0.0,0.0,0.0,0.0,0.0
"[7, 3, 2]",0.0,0.0,0.0028557142857142843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[10],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008912984484736857,0.0,0.0,0.0,0.0,0.0
"[10, 10]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[10, 10, 3]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[9],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031405030018626746,0.0,0.0,0.0,0.0,0.0,0.0
"[9, 9]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004953597510107698,0.0,0.0,0.0,0.0,0.0,0.0
"[9, 9, 9]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002373816664285717,0.0,0.0,0.0,0.0,0.0,0.0
[8],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04163644529904269,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[8, 8]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002348808580505508,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[8, 8, 8]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009424331528372113,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[7, 5]",0.0,0.0,0.0,0.0,0.0,0.0021407149999999988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[7, 5, 5]",0.0,0.0,0.0,0.0,0.0,-0.0035358333333333305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0],-0.0026410847993636874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 8]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010323194373402006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 8, 8]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[5],0.0,0.0,0.0,0.0,0.0,0.011337834829436285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[5, 5]",0.0,0.0,0.0,0.0,0.0,-0.013307033150502256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[5, 5, 0]",0.0009516669047619047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[1, 2]",0.0,0.0,0.0019038095238095238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[1, 2, 2]",0.0,0.0,-0.0018952380952380952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[1, 7]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[1, 7, 2]",0.0,0.0,0.003331666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[5, 5, 11]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003804525476190475,0.0,0.0,0.0,0.0
[11],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029948373189741317,0.0,0.0,0.0,0.0
"[11, 11]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.020015425664779398,0.0,0.0,0.0,0.0
"[11, 11, 1]",0.0,-0.010689328218833331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
