,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1],0.0,-0.006469966866000953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[1, 13]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004047619047619048,0.0,0.0
"[1, 13, 13]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00047619047619047673,0.0,0.0
[7],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[7, 3]",0.0,0.0,0.0,-0.0011857142857142847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[7, 3, 7]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00023809523809523837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[6],0.0,0.0,0.0,0.0,0.0,0.0,-0.004852475149500712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[6, 9]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016659523809523806,0.0,0.0,0.0,0.0,0.0,0.0
"[6, 9, 9]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007138095238095245,0.0,0.0,0.0,0.0,0.0,0.0
"[7, 3, 2]",0.0,0.0,0.001428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[10],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028500095166695263,0.0,0.0,0.0,0.0,0.0
"[10, 10]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[10, 10, 3]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[9],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012812470364375429,0.0,0.0,0.0,0.0,0.0,0.0
"[9, 9]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002135253789064278,0.0,0.0,0.0,0.0,0.0,0.0
"[9, 9, 9]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[8],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009505018800001904,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[8, 8]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009497645226192868,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[8, 8, 8]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023809523809523837,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[7, 5]",0.0,0.0,0.0,0.0,0.0,0.0014278571428571422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[7, 5, 5]",0.0,0.0,0.0,0.0,0.0,-0.002369047619047617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0],-0.0009018795638487578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 8]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004521904761904762,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 8, 8]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[5],0.0,0.0,0.0,0.0,0.0,0.0026147647611904756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[5, 5]",0.0,0.0,0.0,0.0,0.0,-0.0032883804761904747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
