,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
[],-0.001049954444444443,-0.007341778803008073,0.005925781953702014,0.002254872149505026,-0.0030975007936507913,0.23422605529689702,-0.002582865349206349,-0.0018707426493030641,0.011502123878544776,0.01465484393042232,0.00023398393311428568,0.003925539682539684,0.01702047411374601,0.011826178595238098,0.0,0.0
[1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02224732884421441,0.0,0.0,0.0
"[1, 12]",0.0,-0.0012698412698412696,-0.0009523809523809524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013988062063174608
"[1, 12, 1]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[5],-0.00046985714285714334,-0.009809985344786528,-0.0014003770000000006,-2.2646968606242664e-06,-0.006354300489739741,-0.0029138713303809537,-0.002738591457777777,-0.0017777345213039158,0.006686148479253968,0.006203714484738096,0.0044382704794216155,0.004215380438517571,0.0075125793333333316,0.21079305340426477,0.0,0.0
"[5, 3]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00015873015873015927,0.0,0.0,0.0,0.0,0.020839018753153436,0.0,0.0,0.0019047619047619048
"[5, 3, 7]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[5, 3, 12]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[5, 1]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019620395065925052
"[5, 1, 15]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[5, 13]",-0.0016612975514489394,-0.029131164401867003,-0.036977765026322065,0.001822765492204776,-0.0018577730348888887,-0.01952358701862391,-0.007346791746031745,-0.002501840634920635,0.0,0.0,-0.0057271176093026035,-0.005179975445996032,-0.000474603174603174,-0.002156655622000317,-0.003076253274270314,-0.004403793229834543
"[5, 13, 3]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[5, 13, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[5, 10]",0.0,0.0,0.0,0.0,0.0,-0.00047777777777777727,0.0,0.0,0.005222018894699206,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[5, 10, 5]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[5, 13, 2]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[5, 13, 9]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[5, 13, 1]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
